cal_sbid,sbid,field
29079,29110,VAST_0318-62A
29079,29109,VAST_0310-56A
29079,29092,VAST_2041-62A
29079,29091,VAST_2049-56A
29079,29090,VAST_2055-50A
29079,29089,VAST_2053-06A
29079,29068,VAST_1122-06A
29007,29049,VAST_0530-68A
29007,29048,VAST_0457-62A
29007,29047,VAST_0408-62A
29007,29046,VAST_0352-56A
29007,29045,VAST_0435-56A
29007,29044,VAST_0418-50A
29007,29043,VAST_0341-50A
29007,29042,VAST_0304-50A
29007,29041,VAST_0320-43A
29007,29040,VAST_0354-43A
29007,29039,VAST_0306-06A
29007,29036,VAST_0241-06A
29007,29024,VAST_2208-06A
29007,29023,VAST_2208+00A
29007,29022,VAST_2143+00A
29007,29021,VAST_2143-06A
29007,29020,VAST_2118-06A
29007,29019,VAST_2118+00A
29007,29018,VAST_2053+00A
29007,29017,VAST_2028+00A
29007,29016,VAST_2028-06A
29007,29015,VAST_2004-06A
29007,29011,VAST_1724-31A
29007,29010,VAST_1753-18A
29007,29009,VAST_1806-25A
29007,29008,VAST_1752-31A
29007,29002,VAST_1326-06A
29007,29001,VAST_1147-06A
29007,29000,VAST_1212-06A
29007,28999,VAST_1237+00A
28948,28981,VAST_0918-06A
28948,28980,VAST_1008-06A
28948,28979,VAST_0943-06A
28948,28971,VAST_0216-06A
28948,28970,VAST_0151-06A
28948,28969,VAST_0127-73A
28948,28968,VAST_0126-06A
28948,28967,VAST_0102-06A
28948,28966,VAST_0037-06A
28948,28965,VAST_0012-06A
28948,28964,VAST_2233-06A
28948,28963,VAST_2233+00A
28948,28962,VAST_2322+00A
28948,28961,VAST_2257+00A
28948,28959,VAST_2253-43A
28948,28958,VAST_2131-56A
28948,28957,VAST_2219-43A
28948,28956,VAST_2209-50A
28948,28955,VAST_2146-43A
28948,28954,VAST_2132-50A
28948,28953,VAST_2112-43A
28948,28952,VAST_2039-43A
28948,28951,VAST_2005-43A
28948,28950,VAST_2018-50A
28948,28949,VAST_2007-56A
28948,28947,VAST_1739-25A
28884,28940,VAST_1416+00A
28884,28939,VAST_1441+00A
28884,28938,VAST_1441-06A
28884,28937,VAST_1416-06A
28884,28936,VAST_1351-06A
28884,28935,VAST_1351+00A
28884,28934,VAST_1326+00A
28884,28933,VAST_1302+00A
28884,28932,VAST_1302-06A
28884,28931,VAST_1237-06A
28884,28930,VAST_1212-06A
28884,28929,VAST_1212+00A
28884,28928,VAST_1147+00A
28884,28927,VAST_1122+00A
28884,28926,VAST_1057+00A
28884,28925,VAST_1057-06A
28884,28924,VAST_1033-06A
28884,28923,VAST_1033+00A
28884,28922,VAST_1008+00A
28884,28921,VAST_0943+00A
28884,28920,VAST_0918+00A
28884,28913,VAST_0547-62A
28884,28912,VAST_0559-56A
28884,28911,VAST_0517-56A
28884,28910,VAST_0455-50A
28884,28909,VAST_0532-50A
28884,28908,VAST_0534-43A
28884,28907,VAST_0501-43A
28884,28906,VAST_0427-43A
28884,28905,VAST_0331-06A
28884,28904,VAST_0355-06A
28884,28903,VAST_0355+00A
28884,28902,VAST_0331+00A
28884,28901,VAST_0306+00A
28884,28900,VAST_0241+00A
28884,28899,VAST_0216+00A
28884,28898,VAST_0151+00A
28884,28897,VAST_0126+00A
28884,28896,VAST_0102+00A
28884,28895,VAST_0037+00A
28884,28894,VAST_0012+00A
28884,28893,VAST_2347+00A
28884,28892,VAST_2347-06A
28884,28891,VAST_2322-06A
28884,28890,VAST_2257-06A
28884,28889,VAST_2246-50A
28884,28888,VAST_2256-56A
28884,28887,VAST_2214-56A
28884,28886,VAST_2220-62A
28884,28885,VAST_2131-62A
28884,28882,VAST_2004+00A
