Component_ID,RA,DEC,RA_comp,DEC_comp
SB74779_component_4a,351.263906,-40.858266,351.26408,-40.858358
SB74779_component_5a,349.97271,-36.941049,349.973185,-36.941185
SB74779_component_7a,352.648939,-37.410442,352.649149,-37.410545
SB74779_component_13a,352.997594,-38.196463,352.997817,-38.19657
SB74779_component_14a,351.02955,-37.239464,351.029633,-37.239571
SB74779_component_19a,354.141557,-41.255898,354.141604,-41.256107
SB74779_component_21a,353.079098,-41.310332,353.079368,-41.310439
SB74779_component_24a,349.195273,-40.689107,349.1955,-40.689191
SB74779_component_42a,348.498588,-37.079398,348.498785,-37.079505
SB74779_component_43a,349.528363,-40.168401,349.528592,-40.168397
SB74779_component_64a,349.180622,-33.820048,349.180777,-33.820135
